R0000100,PUBID,PUBID_R0000100
R0171900,COW_YEMP-58500.01,COW_YEMP-58500.01_R0171900
R0172000,COW_YEMP-58500.02,COW_YEMP-58500.02_R0172000
R0172100,COW_YEMP-58500.03,COW_YEMP-58500.03_R0172100
R0172200,COW_YEMP-58500.04,COW_YEMP-58500.04_R0172200
R0172300,COW_YEMP-58500.05,COW_YEMP-58500.05_R0172300
R0172400,COW_YEMP-58500.06,COW_YEMP-58500.06_R0172400
R0172500,COW_YEMP-58500.07,COW_YEMP-58500.07_R0172500
R0244000,UNION_YEMP-101100.01,UNION_YEMP-101100.01_R0244000
R0244100,UNION_YEMP-101100.02,UNION_YEMP-101100.02_R0244100
R0244200,UNION_YEMP-101100.03,UNION_YEMP-101100.03_R0244200
R0244300,UNION_YEMP-101100.04,UNION_YEMP-101100.04_R0244300
R0244400,UNION_YEMP-101100.05,UNION_YEMP-101100.05_R0244400
R0244500,UNION_YEMP-101100.06,UNION_YEMP-101100.06_R0244500
R0244600,UNION_YEMP-101100.07,UNION_YEMP-101100.07_R0244600
R0244700,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_R0244700
R0244800,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_R0244800
R0244900,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_R0244900
R0245000,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_R0245000
R0245100,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_R0245100
R0245200,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_R0245200
R0245300,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_R0245300
R0529701,YEMP_STARTDATE.01_M,YEMP_STARTDATE.01_M_R0529701
R0529702,YEMP_STARTDATE.01_Y,YEMP_STARTDATE.01_Y_R0529702
R0529801,YEMP_STARTDATE.02_M,YEMP_STARTDATE.02_M_R0529801
R0529802,YEMP_STARTDATE.02_Y,YEMP_STARTDATE.02_Y_R0529802
R0529901,YEMP_STARTDATE.03_M,YEMP_STARTDATE.03_M_R0529901
R0529902,YEMP_STARTDATE.03_Y,YEMP_STARTDATE.03_Y_R0529902
R0530001,YEMP_STARTDATE.04_M,YEMP_STARTDATE.04_M_R0530001
R0530002,YEMP_STARTDATE.04_Y,YEMP_STARTDATE.04_Y_R0530002
R0530101,YEMP_STARTDATE.05_M,YEMP_STARTDATE.05_M_R0530101
R0530102,YEMP_STARTDATE.05_Y,YEMP_STARTDATE.05_Y_R0530102
R0530201,YEMP_STARTDATE.06_M,YEMP_STARTDATE.06_M_R0530201
R0530202,YEMP_STARTDATE.06_Y,YEMP_STARTDATE.06_Y_R0530202
R0530301,YEMP_STARTDATE.07_M,YEMP_STARTDATE.07_M_R0530301
R0530302,YEMP_STARTDATE.07_Y,YEMP_STARTDATE.07_Y_R0530302
R0530401,YEMP_STOPDATE.01_M,YEMP_STOPDATE.01_M_R0530401
R0530402,YEMP_STOPDATE.01_Y,YEMP_STOPDATE.01_Y_R0530402
R0530501,YEMP_STOPDATE.02_M,YEMP_STOPDATE.02_M_R0530501
R0530502,YEMP_STOPDATE.02_Y,YEMP_STOPDATE.02_Y_R0530502
R0530601,YEMP_STOPDATE.03_M,YEMP_STOPDATE.03_M_R0530601
R0530602,YEMP_STOPDATE.03_Y,YEMP_STOPDATE.03_Y_R0530602
R0530701,YEMP_STOPDATE.04_M,YEMP_STOPDATE.04_M_R0530701
R0530702,YEMP_STOPDATE.04_Y,YEMP_STOPDATE.04_Y_R0530702
R0530801,YEMP_STOPDATE.05_M,YEMP_STOPDATE.05_M_R0530801
R0530802,YEMP_STOPDATE.05_Y,YEMP_STOPDATE.05_Y_R0530802
R0530901,YEMP_STOPDATE.06_M,YEMP_STOPDATE.06_M_R0530901
R0530902,YEMP_STOPDATE.06_Y,YEMP_STOPDATE.06_Y_R0530902
R0531001,YEMP_STOPDATE.07_M,YEMP_STOPDATE.07_M_R0531001
R0531002,YEMP_STOPDATE.07_Y,YEMP_STOPDATE.07_Y_R0531002
R0536300,KEY!SEX,KEY!SEX_R0536300
R0536401,KEY!BDATE_M,KEY!BDATE_M_R0536401
R0536402,KEY!BDATE_Y,KEY!BDATE_Y_R0536402
R0552200,RELIGION-P2-013,RELIGION-P2-013_R0552200
R1194100,CV_AGE_INT_DATE,CV_AGE_INT_DATE_R1194100
R1204500,CV_INCOME_GROSS_YR,CV_INCOME_GROSS_YR_R1204500
R1208500,CV_HRLY_PAY.01,CV_HRLY_PAY.01_R1208500
R1208600,CV_HRLY_PAY.02,CV_HRLY_PAY.02_R1208600
R1208700,CV_HRLY_PAY.03,CV_HRLY_PAY.03_R1208700
R1208800,CV_HRLY_PAY.04,CV_HRLY_PAY.04_R1208800
R1208900,CV_HRLY_PAY.05,CV_HRLY_PAY.05_R1208900
R1209000,CV_HRLY_PAY.06,CV_HRLY_PAY.06_R1209000
R1209100,CV_HRLY_PAY.07,CV_HRLY_PAY.07_R1209100
R1217500,CV_URBAN-RURAL,CV_URBAN-RURAL_R1217500
R1235800,CV_SAMPLE_TYPE,CV_SAMPLE_TYPE_R1235800
R1482600,KEY!RACE_ETHNICITY,KEY!RACE_ETHNICITY_R1482600
R1846600,COW_YEMP-58500.01,COW_YEMP-58500.01_R1846600
R1846700,COW_YEMP-58500.02,COW_YEMP-58500.02_R1846700
R1846800,COW_YEMP-58500.03,COW_YEMP-58500.03_R1846800
R1846900,COW_YEMP-58500.04,COW_YEMP-58500.04_R1846900
R1847000,COW_YEMP-58500.05,COW_YEMP-58500.05_R1847000
R1847100,COW_YEMP-58500.06,COW_YEMP-58500.06_R1847100
R1847200,COW_YEMP-58500.07,COW_YEMP-58500.07_R1847200
R1847300,COW_YEMP-58500.08,COW_YEMP-58500.08_R1847300
R1847400,COW_YEMP-58500.09,COW_YEMP-58500.09_R1847400
R2050000,UNION_YEMP-101100.01,UNION_YEMP-101100.01_R2050000
R2050100,UNION_YEMP-101100.02,UNION_YEMP-101100.02_R2050100
R2050200,UNION_YEMP-101100.03,UNION_YEMP-101100.03_R2050200
R2050300,UNION_YEMP-101100.04,UNION_YEMP-101100.04_R2050300
R2050400,UNION_YEMP-101100.05,UNION_YEMP-101100.05_R2050400
R2050500,UNION_YEMP-101100.06,UNION_YEMP-101100.06_R2050500
R2050600,UNION_YEMP-101100.07,UNION_YEMP-101100.07_R2050600
R2050700,UNION_YEMP-101100.09,UNION_YEMP-101100.09_R2050700
R2050800,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_R2050800
R2050900,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_R2050900
R2051000,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_R2051000
R2051100,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_R2051100
R2051200,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_R2051200
R2051300,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_R2051300
R2051400,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_R2051400
R2051500,JOB-SATISFACTION_YEMP-101200.09,JOB-SATISFACTION_YEMP-101200.09_R2051500
R2472501,YEMP_STARTDATE.01~M,YEMP_STARTDATE.01~M_R2472501
R2472502,YEMP_STARTDATE.01~Y,YEMP_STARTDATE.01~Y_R2472502
R2472601,YEMP_STARTDATE.02~M,YEMP_STARTDATE.02~M_R2472601
R2472602,YEMP_STARTDATE.02~Y,YEMP_STARTDATE.02~Y_R2472602
R2472701,YEMP_STARTDATE.03~M,YEMP_STARTDATE.03~M_R2472701
R2472702,YEMP_STARTDATE.03~Y,YEMP_STARTDATE.03~Y_R2472702
R2472801,YEMP_STARTDATE.04~M,YEMP_STARTDATE.04~M_R2472801
R2472802,YEMP_STARTDATE.04~Y,YEMP_STARTDATE.04~Y_R2472802
R2472901,YEMP_STARTDATE.05~M,YEMP_STARTDATE.05~M_R2472901
R2472902,YEMP_STARTDATE.05~Y,YEMP_STARTDATE.05~Y_R2472902
R2473001,YEMP_STARTDATE.06~M,YEMP_STARTDATE.06~M_R2473001
R2473002,YEMP_STARTDATE.06~Y,YEMP_STARTDATE.06~Y_R2473002
R2473101,YEMP_STARTDATE.07~M,YEMP_STARTDATE.07~M_R2473101
R2473102,YEMP_STARTDATE.07~Y,YEMP_STARTDATE.07~Y_R2473102
R2473201,YEMP_STARTDATE.08~M,YEMP_STARTDATE.08~M_R2473201
R2473202,YEMP_STARTDATE.08~Y,YEMP_STARTDATE.08~Y_R2473202
R2473301,YEMP_STARTDATE.09~M,YEMP_STARTDATE.09~M_R2473301
R2473302,YEMP_STARTDATE.09~Y,YEMP_STARTDATE.09~Y_R2473302
R2473401,YEMP_STOPDATE.01~M,YEMP_STOPDATE.01~M_R2473401
R2473402,YEMP_STOPDATE.01~Y,YEMP_STOPDATE.01~Y_R2473402
R2473501,YEMP_STOPDATE.02~M,YEMP_STOPDATE.02~M_R2473501
R2473502,YEMP_STOPDATE.02~Y,YEMP_STOPDATE.02~Y_R2473502
R2473601,YEMP_STOPDATE.03~M,YEMP_STOPDATE.03~M_R2473601
R2473602,YEMP_STOPDATE.03~Y,YEMP_STOPDATE.03~Y_R2473602
R2473701,YEMP_STOPDATE.04~M,YEMP_STOPDATE.04~M_R2473701
R2473702,YEMP_STOPDATE.04~Y,YEMP_STOPDATE.04~Y_R2473702
R2473801,YEMP_STOPDATE.05~M,YEMP_STOPDATE.05~M_R2473801
R2473802,YEMP_STOPDATE.05~Y,YEMP_STOPDATE.05~Y_R2473802
R2473901,YEMP_STOPDATE.06~M,YEMP_STOPDATE.06~M_R2473901
R2473902,YEMP_STOPDATE.06~Y,YEMP_STOPDATE.06~Y_R2473902
R2474001,YEMP_STOPDATE.07~M,YEMP_STOPDATE.07~M_R2474001
R2474002,YEMP_STOPDATE.07~Y,YEMP_STOPDATE.07~Y_R2474002
R2474101,YEMP_STOPDATE.08~M,YEMP_STOPDATE.08~M_R2474101
R2474102,YEMP_STOPDATE.08~Y,YEMP_STOPDATE.08~Y_R2474102
R2474201,YEMP_STOPDATE.09~M,YEMP_STOPDATE.09~M_R2474201
R2474202,YEMP_STOPDATE.09~Y,YEMP_STOPDATE.09~Y_R2474202
R2553500,CV_AGE_INT_DATE,CV_AGE_INT_DATE_R2553500
R2563201,HIGHEST-GRADE_9899,HIGHEST-GRADE_9899_R2563201
R2563300,CV_INCOME_GROSS_YR,CV_INCOME_GROSS_YR_R2563300
R2567200,CV_HRLY_PAY.01,CV_HRLY_PAY.01_R2567200
R2567300,CV_HRLY_PAY.02,CV_HRLY_PAY.02_R2567300
R2567400,CV_HRLY_PAY.03,CV_HRLY_PAY.03_R2567400
R2567500,CV_HRLY_PAY.04,CV_HRLY_PAY.04_R2567500
R2567600,CV_HRLY_PAY.05,CV_HRLY_PAY.05_R2567600
R2567700,CV_HRLY_PAY.06,CV_HRLY_PAY.06_R2567700
R2567800,CV_HRLY_PAY.07,CV_HRLY_PAY.07_R2567800
R2567900,CV_HRLY_PAY.08,CV_HRLY_PAY.08_R2567900
R2568000,CV_HRLY_PAY.09,CV_HRLY_PAY.09_R2568000
R2576800,CV_URBAN-RURAL,CV_URBAN-RURAL_R2576800
R3189000,COW_YEMP-58500.01,COW_YEMP-58500.01_R3189000
R3189100,COW_YEMP-58500.02,COW_YEMP-58500.02_R3189100
R3189200,COW_YEMP-58500.03,COW_YEMP-58500.03_R3189200
R3189300,COW_YEMP-58500.04,COW_YEMP-58500.04_R3189300
R3189400,COW_YEMP-58500.05,COW_YEMP-58500.05_R3189400
R3189500,COW_YEMP-58500.06,COW_YEMP-58500.06_R3189500
R3189600,COW_YEMP-58500.07,COW_YEMP-58500.07_R3189600
R3189700,COW_YEMP-58500.08,COW_YEMP-58500.08_R3189700
R3189800,COW_YEMP-58500.09,COW_YEMP-58500.09_R3189800
R3387200,UNION_YEMP-101100.01,UNION_YEMP-101100.01_R3387200
R3387300,UNION_YEMP-101100.02,UNION_YEMP-101100.02_R3387300
R3387400,UNION_YEMP-101100.03,UNION_YEMP-101100.03_R3387400
R3387500,UNION_YEMP-101100.04,UNION_YEMP-101100.04_R3387500
R3387600,UNION_YEMP-101100.05,UNION_YEMP-101100.05_R3387600
R3387700,UNION_YEMP-101100.06,UNION_YEMP-101100.06_R3387700
R3387800,UNION_YEMP-101100.07,UNION_YEMP-101100.07_R3387800
R3387900,UNION_YEMP-101100.09,UNION_YEMP-101100.09_R3387900
R3388000,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_R3388000
R3388100,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_R3388100
R3388200,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_R3388200
R3388300,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_R3388300
R3388400,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_R3388400
R3388500,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_R3388500
R3388600,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_R3388600
R3388700,JOB-SATISFACTION_YEMP-101200.09,JOB-SATISFACTION_YEMP-101200.09_R3388700
R3786401,YEMP_STARTDATE.01~M,YEMP_STARTDATE.01~M_R3786401
R3786402,YEMP_STARTDATE.01~Y,YEMP_STARTDATE.01~Y_R3786402
R3786501,YEMP_STARTDATE.02~M,YEMP_STARTDATE.02~M_R3786501
R3786502,YEMP_STARTDATE.02~Y,YEMP_STARTDATE.02~Y_R3786502
R3786601,YEMP_STARTDATE.03~M,YEMP_STARTDATE.03~M_R3786601
R3786602,YEMP_STARTDATE.03~Y,YEMP_STARTDATE.03~Y_R3786602
R3786701,YEMP_STARTDATE.04~M,YEMP_STARTDATE.04~M_R3786701
R3786702,YEMP_STARTDATE.04~Y,YEMP_STARTDATE.04~Y_R3786702
R3786801,YEMP_STARTDATE.05~M,YEMP_STARTDATE.05~M_R3786801
R3786802,YEMP_STARTDATE.05~Y,YEMP_STARTDATE.05~Y_R3786802
R3786901,YEMP_STARTDATE.06~M,YEMP_STARTDATE.06~M_R3786901
R3786902,YEMP_STARTDATE.06~Y,YEMP_STARTDATE.06~Y_R3786902
R3787001,YEMP_STARTDATE.07~M,YEMP_STARTDATE.07~M_R3787001
R3787002,YEMP_STARTDATE.07~Y,YEMP_STARTDATE.07~Y_R3787002
R3787101,YEMP_STARTDATE.08~M,YEMP_STARTDATE.08~M_R3787101
R3787102,YEMP_STARTDATE.08~Y,YEMP_STARTDATE.08~Y_R3787102
R3787201,YEMP_STARTDATE.09~M,YEMP_STARTDATE.09~M_R3787201
R3787202,YEMP_STARTDATE.09~Y,YEMP_STARTDATE.09~Y_R3787202
R3787301,YEMP_STOPDATE.01~M,YEMP_STOPDATE.01~M_R3787301
R3787302,YEMP_STOPDATE.01~Y,YEMP_STOPDATE.01~Y_R3787302
R3787401,YEMP_STOPDATE.02~M,YEMP_STOPDATE.02~M_R3787401
R3787402,YEMP_STOPDATE.02~Y,YEMP_STOPDATE.02~Y_R3787402
R3787501,YEMP_STOPDATE.03~M,YEMP_STOPDATE.03~M_R3787501
R3787502,YEMP_STOPDATE.03~Y,YEMP_STOPDATE.03~Y_R3787502
R3787601,YEMP_STOPDATE.04~M,YEMP_STOPDATE.04~M_R3787601
R3787602,YEMP_STOPDATE.04~Y,YEMP_STOPDATE.04~Y_R3787602
R3787701,YEMP_STOPDATE.05~M,YEMP_STOPDATE.05~M_R3787701
R3787702,YEMP_STOPDATE.05~Y,YEMP_STOPDATE.05~Y_R3787702
R3787801,YEMP_STOPDATE.06~M,YEMP_STOPDATE.06~M_R3787801
R3787802,YEMP_STOPDATE.06~Y,YEMP_STOPDATE.06~Y_R3787802
R3787901,YEMP_STOPDATE.07~M,YEMP_STOPDATE.07~M_R3787901
R3787902,YEMP_STOPDATE.07~Y,YEMP_STOPDATE.07~Y_R3787902
R3788001,YEMP_STOPDATE.08~M,YEMP_STOPDATE.08~M_R3788001
R3788002,YEMP_STOPDATE.08~Y,YEMP_STOPDATE.08~Y_R3788002
R3788101,YEMP_STOPDATE.09~M,YEMP_STOPDATE.09~M_R3788101
R3788102,YEMP_STOPDATE.09~Y,YEMP_STOPDATE.09~Y_R3788102
R3876300,CV_AGE_INT_DATE,CV_AGE_INT_DATE_R3876300
R3884801,HIGHEST-GRADE_9900,HIGHEST-GRADE_9900_R3884801
R3884900,CV_INCOME_GROSS_YR,CV_INCOME_GROSS_YR_R3884900
R3888900,CV_HRLY_PAY.01,CV_HRLY_PAY.01_R3888900
R3889000,CV_HRLY_PAY.02,CV_HRLY_PAY.02_R3889000
R3889100,CV_HRLY_PAY.03,CV_HRLY_PAY.03_R3889100
R3889200,CV_HRLY_PAY.04,CV_HRLY_PAY.04_R3889200
R3889300,CV_HRLY_PAY.05,CV_HRLY_PAY.05_R3889300
R3889400,CV_HRLY_PAY.06,CV_HRLY_PAY.06_R3889400
R3889500,CV_HRLY_PAY.07,CV_HRLY_PAY.07_R3889500
R3889600,CV_HRLY_PAY.08,CV_HRLY_PAY.08_R3889600
R3889700,CV_HRLY_PAY.09,CV_HRLY_PAY.09_R3889700
R3899100,CV_URBAN-RURAL,CV_URBAN-RURAL_R3899100
R4471400,COW_YEMP-58500.01,COW_YEMP-58500.01_R4471400
R4471500,COW_YEMP-58500.02,COW_YEMP-58500.02_R4471500
R4471600,COW_YEMP-58500.03,COW_YEMP-58500.03_R4471600
R4471700,COW_YEMP-58500.04,COW_YEMP-58500.04_R4471700
R4471800,COW_YEMP-58500.05,COW_YEMP-58500.05_R4471800
R4471900,COW_YEMP-58500.06,COW_YEMP-58500.06_R4471900
R4472000,COW_YEMP-58500.07,COW_YEMP-58500.07_R4472000
R4472100,COW_YEMP-58500.08,COW_YEMP-58500.08_R4472100
R4472200,COW_YEMP-58500.09,COW_YEMP-58500.09_R4472200
R4766800,UNION_YEMP-101100.01,UNION_YEMP-101100.01_R4766800
R4766900,UNION_YEMP-101100.02,UNION_YEMP-101100.02_R4766900
R4767000,UNION_YEMP-101100.03,UNION_YEMP-101100.03_R4767000
R4767100,UNION_YEMP-101100.04,UNION_YEMP-101100.04_R4767100
R4767200,UNION_YEMP-101100.05,UNION_YEMP-101100.05_R4767200
R4767300,UNION_YEMP-101100.06,UNION_YEMP-101100.06_R4767300
R4767400,UNION_YEMP-101100.07,UNION_YEMP-101100.07_R4767400
R4767500,UNION_YEMP-101100.08,UNION_YEMP-101100.08_R4767500
R4767600,UNION_YEMP-101100.09,UNION_YEMP-101100.09_R4767600
R4771900,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_R4771900
R4772000,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_R4772000
R4772100,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_R4772100
R4772200,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_R4772200
R4772300,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_R4772300
R4772400,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_R4772400
R4772500,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_R4772500
R4772600,JOB-SATISFACTION_YEMP-101200.08,JOB-SATISFACTION_YEMP-101200.08_R4772600
R4772700,JOB-SATISFACTION_YEMP-101200.09,JOB-SATISFACTION_YEMP-101200.09_R4772700
R5310101,YEMP_STARTDATE.01~M,YEMP_STARTDATE.01~M_R5310101
R5310102,YEMP_STARTDATE.01~Y,YEMP_STARTDATE.01~Y_R5310102
R5310201,YEMP_STARTDATE.02~M,YEMP_STARTDATE.02~M_R5310201
R5310202,YEMP_STARTDATE.02~Y,YEMP_STARTDATE.02~Y_R5310202
R5310301,YEMP_STARTDATE.03~M,YEMP_STARTDATE.03~M_R5310301
R5310302,YEMP_STARTDATE.03~Y,YEMP_STARTDATE.03~Y_R5310302
R5310401,YEMP_STARTDATE.04~M,YEMP_STARTDATE.04~M_R5310401
R5310402,YEMP_STARTDATE.04~Y,YEMP_STARTDATE.04~Y_R5310402
R5310501,YEMP_STARTDATE.05~M,YEMP_STARTDATE.05~M_R5310501
R5310502,YEMP_STARTDATE.05~Y,YEMP_STARTDATE.05~Y_R5310502
R5310601,YEMP_STARTDATE.06~M,YEMP_STARTDATE.06~M_R5310601
R5310602,YEMP_STARTDATE.06~Y,YEMP_STARTDATE.06~Y_R5310602
R5310701,YEMP_STARTDATE.07~M,YEMP_STARTDATE.07~M_R5310701
R5310702,YEMP_STARTDATE.07~Y,YEMP_STARTDATE.07~Y_R5310702
R5310801,YEMP_STARTDATE.08~M,YEMP_STARTDATE.08~M_R5310801
R5310802,YEMP_STARTDATE.08~Y,YEMP_STARTDATE.08~Y_R5310802
R5310901,YEMP_STARTDATE.09~M,YEMP_STARTDATE.09~M_R5310901
R5310902,YEMP_STARTDATE.09~Y,YEMP_STARTDATE.09~Y_R5310902
