variable_id,name,variable,description,year,job_number
R3066410,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1989,5
R3075000,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1989,NA
R3136600,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1990,NA
R3332610,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1990,1
R3340100,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1990,1
R3340900,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1990,1
R3341500,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1990,1
R3346610,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1990,2
R3354100,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1990,2
R3354900,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1990,2
R3355500,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1990,2
R3360610,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1990,3
R3368100,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1990,3
R3368900,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1990,3
R3369500,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1990,3
R3374610,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1990,4
R3382100,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1990,4
R3382900,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1990,4
R3383500,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1990,4
R3388610,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1990,5
R3396100,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1990,5
R3396900,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1990,5
R3397500,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1990,5
R3401700,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1990,NA
R3527000,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1991,NA
R3597610,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1991,1
R3604400,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1991,1
R3605200,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1991,1
R3605800,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1991,1
R3609710,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1991,2
R3616500,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1991,2
R3617300,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1991,2
R3617900,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1991,2
R3621810,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1991,3
R3628600,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1991,3
R3629400,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1991,3
R3630000,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1991,3
R3633910,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1991,4
R3640700,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1991,4
R3641500,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1991,4
R3642100,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1991,4
R3646010,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1991,5
R3652800,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1991,5
R3653600,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1991,5
R3654200,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1991,5
R3657100,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1991,NA
R3732100,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1992,NA
R3947800,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1992,1
R3954600,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1992,1
R3955400,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1992,1
R3956000,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1992,1
R3960000,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1992,2
R3966800,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1992,2
R3967600,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1992,2
R3968200,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1992,2
R3972200,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1992,3
R3979000,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1992,3
R3979800,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1992,3
R3980400,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1992,3
R3984400,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1992,4
R3991200,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1992,4
R3992000,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1992,4
R3992600,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1992,4
R3996600,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1992,5
R4003400,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1992,5
R4004200,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1992,5
R4004800,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1992,5
R4007600,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1992,NA
R4187200,CPS-QES-89,job_satisfaction_most_recent,"GLOBAL JOB SATISFACTION, CURRENT JOB/MOST RECENT JOB",1993,NA
R4193200,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1993,1
R4193900,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1993,1
R4205500,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1993,2
R4206300,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1993,2
R4212700,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1993,3
R4213500,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1993,3
R4220300,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1993,4
R4221100,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1993,4
R4227800,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1993,5
R4228500,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1993,5
R4416300,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1993,1
R4416400,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1993,2
R4416500,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1993,3
R4416600,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1993,4
R4416700,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1993,5
R4416900,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1993,1
R4417000,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1993,2
R4417100,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1993,3
R4417200,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1993,4
R4417300,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1993,5
R4418700,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1993,NA
R4582900,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1994,1
R4587905,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1994,1
R4616000,QES-89.01,job_satisfaction,GLOBAL JOB SATISFACTION JOB #01,1994,1
R4627100,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1994,2
R4631903,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1994,2
R4659300,QES-89.02,job_satisfaction,GLOBAL JOB SATISFACTION JOB #02,1994,2
R4671000,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1994,3
R4675903,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1994,3
R4701000,QES-89.03,job_satisfaction,GLOBAL JOB SATISFACTION JOB #03,1994,3
R4710600,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1994,4
R4715203,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1994,4
R4736000,QES-89.04,job_satisfaction,GLOBAL JOB SATISFACTION JOB #04,1994,4
R4744900,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1994,5
R4749403,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1994,5
R4767600,QES-89.05,job_satisfaction,GLOBAL JOB SATISFACTION JOB #05,1994,5
R5079300,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1994,1
R5079400,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1994,2
R5079500,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1994,3
R5079600,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1994,4
R5079700,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1994,5
R5079900,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1994,1
R5080000,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1994,2
R5080100,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1994,3
R5080200,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1994,4
R5080300,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1994,5
R5081700,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1994,NA
R5164600,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1996,1
R5164700,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1996,2
R5164800,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1996,3
R5164900,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1996,4
R5165000,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1996,5
R5165200,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1996,1
R5165300,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1996,2
R5165400,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1996,3
R5165500,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1996,4
R5165600,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1996,5
R5167000,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1996,NA
R5267100,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1996,1
R5270700,COWALL-EMP.01,job_sector,CLASS OF WORKER JOB #01,1996,1
R5298100,QES-89.01,job_satisfaction,GLOBAL JOB SATISFACTION JOB #01,1996,1
R5307400,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1996,2
R5311000,COWALL-EMP.02,job_sector,CLASS OF WORKER JOB #02,1996,2
R5337700,QES-89.02,job_satisfaction,GLOBAL JOB SATISFACTION JOB #02,1996,2
R5346600,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1996,3
R5350000,COWALL-EMP.03,job_sector,CLASS OF WORKER JOB #03,1996,3
R5375600,QES-89.03,job_satisfaction,GLOBAL JOB SATISFACTION JOB #03,1996,3
R5383700,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1996,4
R5387100,COWALL-EMP.04,job_sector,CLASS OF WORKER JOB #04,1996,4
R5410600,QES-89.04,job_satisfaction,GLOBAL JOB SATISFACTION JOB #04,1996,4
R5418200,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1996,5
R5421600,COWALL-EMP.05,job_sector,CLASS OF WORKER JOB #05,1996,5
R5445500,QES-89.05,job_satisfaction,GLOBAL JOB SATISFACTION JOB #05,1996,5
R5912600,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,1998,1
R5912700,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,1998,2
R5912800,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,1998,3
R5912900,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,1998,4
R5913000,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,1998,5
R6136500,QES-89.01,job_satisfaction,GLOBAL JOB SATISFACTION JOB #01,1998,1
R6136600,QES-89.02,job_satisfaction,GLOBAL JOB SATISFACTION JOB #02,1998,2
R6136700,QES-89.03,job_satisfaction,GLOBAL JOB SATISFACTION JOB #03,1998,3
R6136800,QES-89.04,job_satisfaction,GLOBAL JOB SATISFACTION JOB #04,1998,4
R6136900,QES-89.05,job_satisfaction,GLOBAL JOB SATISFACTION JOB #05,1998,5
R6473100,COWALL-EMP.01,job_sector,CLASS OF WORKER (ALL) JOB #01,1998,1
R6473200,COWALL-EMP.02,job_sector,CLASS OF WORKER (ALL) JOB #02,1998,2
R6473300,COWALL-EMP.03,job_sector,CLASS OF WORKER (ALL) JOB #03,1998,3
R6473400,COWALL-EMP.04,job_sector,CLASS OF WORKER (ALL) JOB #04,1998,4
R6473500,COWALL-EMP.05,job_sector,CLASS OF WORKER (ALL) JOB #05,1998,5
R6477500,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,1998,1
R6477600,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,1998,2
R6477700,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,1998,3
R6477800,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,1998,4
R6477900,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,1998,5
R6478000,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,1998,1
R6478100,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,1998,2
R6478200,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,1998,3
R6478300,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,1998,4
R6478400,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,1998,5
R6479800,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,1998,NA
R6578200,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,2000,1
R6578300,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,2000,2
R6578400,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,2000,3
R6578500,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,2000,4
R6578600,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,2000,5
R6592300,COWALL-EMP.01,job_sector,CLASS OF WORKER (ALL) JOB #01,2000,1
R6592400,COWALL-EMP.02,job_sector,CLASS OF WORKER (ALL) JOB #02,2000,2
R6592500,COWALL-EMP.03,job_sector,CLASS OF WORKER (ALL) JOB #03,2000,3
R6592600,COWALL-EMP.04,job_sector,CLASS OF WORKER (ALL) JOB #04,2000,4
R6592700,COWALL-EMP.05,job_sector,CLASS OF WORKER (ALL) JOB #05,2000,5
R6690400,QES-89.01,job_satisfaction,GLOBAL JOB SATISFACTION JOB #01,2000,1
R6690500,QES-89.02,job_satisfaction,GLOBAL JOB SATISFACTION JOB #02,2000,2
R6690600,QES-89.03,job_satisfaction,GLOBAL JOB SATISFACTION JOB #03,2000,3
R6690700,QES-89.04,job_satisfaction,GLOBAL JOB SATISFACTION JOB #04,2000,4
R6690800,QES-89.05,job_satisfaction,GLOBAL JOB SATISFACTION JOB #05,2000,5
R7005200,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,2000,1
R7005300,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,2000,2
R7005400,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,2000,3
R7005500,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,2000,4
R7005600,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,2000,5
R7005700,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,2000,1
R7005800,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,2000,2
R7005900,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,2000,3
R7006000,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,2000,4
R7006100,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,2000,5
R7007500,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,2000,NA
R7192900,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,2002,1
R7193000,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,2002,2
R7193100,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,2002,3
R7193200,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,2002,4
R7193300,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,2002,5
R7210100,COWALL-EMP.01,job_sector,CLASS OF WORKER (ALL) JOB #01,2002,1
R7210200,COWALL-EMP.02,job_sector,CLASS OF WORKER (ALL) JOB #02,2002,2
R7210300,COWALL-EMP.03,job_sector,CLASS OF WORKER (ALL) JOB #03,2002,3
R7210400,COWALL-EMP.04,job_sector,CLASS OF WORKER (ALL) JOB #04,2002,4
R7210500,COWALL-EMP.05,job_sector,CLASS OF WORKER (ALL) JOB #05,2002,5
R7351100,QES-89.01,job_satisfaction,GLOBAL JOB SATISFACTION JOB #01,2002,1
R7351200,QES-89.02,job_satisfaction,GLOBAL JOB SATISFACTION JOB #02,2002,2
R7351300,QES-89.03,job_satisfaction,GLOBAL JOB SATISFACTION JOB #03,2002,3
R7351400,QES-89.04,job_satisfaction,GLOBAL JOB SATISFACTION JOB #04,2002,4
R7351500,QES-89.05,job_satisfaction,GLOBAL JOB SATISFACTION JOB #05,2002,5
R7702400,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,2002,1
R7702500,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,2002,2
R7702600,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,2002,3
R7702700,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,2002,4
R7702800,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,2002,5
R7702900,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,2002,1
R7703000,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,2002,2
R7703100,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,2002,3
R7703200,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,2002,4
R7703300,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,2002,5
R7704800,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,2002,NA
R7879600,QES-52A.01,job_hours_per_week,HOURS PER WEEK WORKED JOB #01,2004,1
R7879700,QES-52A.02,job_hours_per_week,HOURS PER WEEK WORKED JOB #02,2004,2
R7879800,QES-52A.03,job_hours_per_week,HOURS PER WEEK WORKED JOB #03,2004,3
R7879900,QES-52A.04,job_hours_per_week,HOURS PER WEEK WORKED JOB #04,2004,4
R7880000,QES-52A.05,job_hours_per_week,HOURS PER WEEK WORKED JOB #05,2004,5
R7898500,COWALL-EMP.01,job_sector,CLASS OF WORKER (ALL) JOB #01,2004,1
R7898600,COWALL-EMP.02,job_sector,CLASS OF WORKER (ALL) JOB #02,2004,2
R7898700,COWALL-EMP.03,job_sector,CLASS OF WORKER (ALL) JOB #03,2004,3
R7898800,COWALL-EMP.04,job_sector,CLASS OF WORKER (ALL) JOB #04,2004,4
R7898900,COWALL-EMP.05,job_sector,CLASS OF WORKER (ALL) JOB #05,2004,5
R8044100,QES-89.01,job_satisfaction,GLOBAL JOB SATISFACTION JOB #01,2004,1
R8044200,QES-89.02,job_satisfaction,GLOBAL JOB SATISFACTION JOB #02,2004,2
R8044300,QES-89.03,job_satisfaction,GLOBAL JOB SATISFACTION JOB #03,2004,3
R8044400,QES-89.04,job_satisfaction,GLOBAL JOB SATISFACTION JOB #04,2004,4
R8044500,QES-89.05,job_satisfaction,GLOBAL JOB SATISFACTION JOB #05,2004,5
R8494700,TENURE1,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #01,2004,1
R8494800,TENURE2,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #02,2004,2
R8494900,TENURE3,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #03,2004,3
R8495000,TENURE4,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #04,2004,4
R8495100,TENURE5,tenure,TOTAL TENURE (IN WEEKS) WITH EMPLOYER AS OF INTERVIEW DATE JOB #05,2004,5
R8495200,HRP1,job_payment,HOURLY RATE OF PAY JOB #01,2004,1
R8495300,HRP2,job_payment,HOURLY RATE OF PAY JOB #02,2004,2
R8495400,HRP3,job_payment,HOURLY RATE OF PAY JOB #03,2004,3
R8495500,HRP4,job_payment,HOURLY RATE OF PAY JOB #04,2004,4
R8495600,HRP5,job_payment,HOURLY RATE OF PAY JOB #05,2004,5
R8497200,AGEATINT,age_at_interview,AGE OF R AT INTERVIEW DATE,2004,NA